
================================================================================
       Solver:RDA    Version: 0.1 (2023-05-02)  
================================================================================
Problem Summary: Excuted at 2023-05-04 11:55:08.180855
Dataset:.............................................a9a
Data Size:......................................n=32561, p=123
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0036
Number of groups:..............................14

Algorithm Parameters:
 Termination Conditions:
    accuracy: -1.0 | optim scaled: True | time limits:43200.0 | epoch limits:100
 Sampling Setups: batchsize: 256 | shuffle: True
 Proximal Stepsize update: increasing
 Compute Optimality measure: True
Inexact Proximal Solver:
 exact solve:False | ipg_strategy:diminishing | ipg_do_linesearch:True
 ipg_diminishing_c:1 | ipg_diminishing_delta:2
 ipg_linesearch_eta:0.0001 | ipg_linesearch_xi:0.8 | ipg_linesearch_beta:1.2
****************************************************************************************************
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
    91 5.083e-01 1.079e+04    12     2  1.432e-03 | 8.093e-04    13      1  |
    92 5.083e-01 1.085e+04    12     2  1.534e-03 | 1.272e-03    12      2  |
    93 5.083e-01 1.091e+04    12     2  7.302e-04 | 4.364e-04    12      2  |
    94 5.083e-01 1.097e+04    12     2  1.582e-03 | 8.064e-04    13      1  |
    95 5.083e-01 1.103e+04    12     2  4.011e-04 | 4.407e-04    12      2  |
    96 5.083e-01 1.109e+04    12     2  4.723e-04 | 5.481e-04    12      2  |
    97 5.083e-01 1.114e+04    12     2  1.964e-03 | 8.277e-04    13      1  |
    98 5.083e-01 1.120e+04    12     2  3.812e-04 | 4.801e-04    12      2  |
    99 5.083e-01 1.126e+04    12     2  1.437e-03 | 1.229e-03    12      2  |
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
   100 5.083e-01 1.131e+04    12     2  3.884e-04 | 5.162e-04    12      2  |
   101 5.083e-01 1.137e+04    12     2  3.572e-04 | 3.968e-04    12      2  |
   102 5.083e-01 1.143e+04    12     2  9.134e-04 | 4.955e-04    12      2  |
   103 5.083e-01 1.148e+04    12     2  7.286e-04 | 7.470e-04    12      2  |
   104 5.083e-01 1.154e+04    12     2  1.318e-03 | 1.147e-03    12      2  |
   105 5.083e-01 1.159e+04    12     2  6.350e-04 | 7.918e-04    12      2  |
   106 5.083e-01 1.165e+04    12     2  3.680e-04 | 4.400e-04    12      2  |
   107 5.083e-01 1.170e+04    12     2  1.186e-03 | 7.184e-04    12      2  |
   108 5.083e-01 1.176e+04    12     2  3.203e-04 | 4.777e-04    12      2  |
   109 5.083e-01 1.181e+04    12     2  7.289e-04 | 5.198e-04    12      2  |
   110 5.083e-01 1.187e+04    12     2  1.793e-03 | 8.422e-04    13      1  |
   111 5.083e-01 1.192e+04    12     2  3.126e-04 | 3.775e-04    12      2  |
   112 5.083e-01 1.197e+04    12     2  1.141e-03 | 1.064e-03    12      2  |
   113 5.083e-01 1.203e+04    12     2  3.047e-04 | 4.245e-04    12      2  |
   114 5.083e-01 1.208e+04    12     2  6.529e-04 | 4.659e-04    12      2  |
   115 5.083e-01 1.213e+04    12     2  3.217e-04 | 3.690e-04    12      2  |
   116 5.083e-01 1.219e+04    12     2  1.024e-03 | 6.415e-04    12      2  |
   117 5.083e-01 1.224e+04    12     2  1.087e-03 | 9.931e-04    12      2  |
   118 5.083e-01 1.229e+04    12     2  1.079e-03 | 9.785e-04    12      2  |
   119 5.083e-01 1.234e+04    12     2  6.712e-04 | 4.357e-04    12      2  |
